Team,Rank,ensembl_gene_id,hgnc_symbol,Target_Choice_Justification,Predicted_Therapeutic_Direction,Data_used_to_support_target_selection,data_synapseID
Mayo-UFL-ISB,16,ENSG00000105894,PTN,A growth factor that accumulates in plaques in mice and humans,Unknown.,APP mouse proteomic data and IHC implciates as a key palque associted protein in humans and mice. Overexpression and Antagonism studies being launched.,syn17008061
Mayo-UFL-ISB,17,ENSG00000171094,ALK,High affinity receptor for growth factors that accumulate in plaques. Could mediate dysmorphic effects of accumulation of growth factors in plaques.,Unknown.,High affinity receptor for MDK and PTN. Serves as a target to test altered MDK/PTN signaling. Decoy receptor studeis underway.,syn17008061
Mayo-UFL-ISB,18,ENSG00000172247,C1QTNF4,May act as an immune stimulator. It is decreased at the transcript level in AD but accumulates at protein level in mouse models. In early stages of AD may be increased.,Agonism predicted to reduce disease progression.,We are testing overexpresison of this in APP mouse models. Appears to be a oligodendrocyte selective protein.,syn17008061
Mayo-UFL-ISB,19,ENSG00000100234,TIMP3,Protease Inhibitor that accumulates in the Alzheimer's brain. May negatively impact clearance of proteins.,Antagonism predicted to reduce disease progression.,Highly upregulated in AD. Likely source astrocytes. Up in mouse models.,syn17008061
Mayo-UFL-ISB,20,ENSG00000000971,CFH,"Complement inhibition has been proposed to be beneficial in AD, though genetic and modeling data might suggest the opposite. As activation may not be tolerable from a safety point of view we are testing whether inhibition truly is harmful.",Agonism predicted to reduce disease progression.,"Complement Pathway is implciated by systems, genetics, and pathology data. But is it a tractable target? Activation is not likely to be. So we are exploring inhibition in mouse mdoels to be able to inform the field on a go-non-go decision.",syn17008061
Mayo-UFL-ISB,20,ENSG00000205403,CFI,"Complement inhibition has been proposed to be beneficial in AD, though genetic and modeling data might suggest the opposite. As activation may not be tolerable from a safety point of view we are testing whether inhibition truly is harmful.",Agonism predicted to reduce disease progression.,"Complement Pathway is implciated by systems, genetics, and pathology data. But is it a tractable target? Activation is not likely to be. So we are exploring inhibition in mouse mdoels to be able to inform the field on a go-non-go decision.",syn17008061
MSSM,1,ENSG00000011600,TYROBP,TYROBP was up-regulated in AD brains. It was identified as an important key driver in an immune response-related subnetwork yellow through coexpression and Bayesian network analysis and validated in mouse models.,"Antagonism predicted to reduce disease progression. Constitutive absence of TYROBP in a App/Ps1 mice recapitulates the expected network characteristics by normalizing the transcriptome and prevents the induction of immune/pro_inflammatory response involved in the switch from homeostatic microglia to disease associated microglia (DAM). Importantly, deletion of TYROBP reversed the aberrant behavioral and electrophphysiological change, rescued aberrant synaptic plasticity in PPF and LTD experiments, and improved their learning and memory in Barnes maze test in the APP/PSEN1 model.",Bayesian network analysis derived from microarray gene expression and SNP genotypes.,syn17008057
MSSM,2,ENSG00000128564,VGF,VGF was selected as a target because it was downregulated in AD cases. It was identified in the coexpression analysis as an important key driver of downregulation of a set of genes correlated with AD severity and validated in three model systems.,"Agonism predicted to reduce disease progression. In human postmortem brains, VGF RNA and protein expression were down-regulated in demented patitents by 30%. In 5xFAD mice, overexpression of VGF reduced immunoreactive plaques, Iba-1-positive cells (microglial marker) and Tau phosphorylation, improves neurogenesis in the subgranular zone of hippocampus, and partially restore impaired spatial learning and memory.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,3,ENSG00000152661,GJA1,GJA1 was up-regualted in AD brains. It was identified as an important key driver in an astrocyte-specific subnetwork through coexpression and Bayesian network analysis and validated in mouse models.,"Antagonism predicted to reduce disease progression. GJA1 was significantly up-regulated in the parahippocampal area of CERDA definite AD (adjusted p=2.35x10^-5, FC=1.32) / Demented (adjusted p=3.62x10^-4, FC=1.35) / severely Plaqued (adjusted p=2.31x10^-4, FC=1.43) brains compared to the controls.",Bayesian network analysis derived from microarray gene expression and SNP genotypes.,syn17008057
MSSM,4,ENSG00000168918,INPP5D,INPP5D was up-regulated in the parahippocampal area of CERAD definite AD brains. It was identified as an important key driver in the Bayesian network analysis and it is also an AD GWAS candidate.,"Antagonism predicted to reduce disease progression. INPP5D was significantly up-regulated in the parahippocampal area of CERAD definite AD (adjusted p=1.08x10^-5, FC=1.33) / Demented (adjusted p=4.01x10^-3, FC=1.27) / severely Plaqued (adjusted p=1.94x10^-4, FC=1.36) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,5,ENSG00000081189,MEF2C,MEF2C was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified as an important key driver in the Bayesian network analysis and it is also an AD GWAS candidate.,"Agonism predicted to reduce disease progression. MEF2C was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=3.18x10^-7, FC=0.66) / Demented (adjusted p=2.99x10^-5, FC=0.65) / severely Plaqued (adjusted p=1.47x10^-6, FC=0.61) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,6,ENSG00000114573,ATP6V1A,ATP6V1A was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity and validated a role of neuronal activity in two model systems.,"Agonism predicted to reduce disease progression. ATP6V1A was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=2.87x10^-7, FC=0.72) / Demented (adjusted p=5.4x10^-5, FC=0.71) / severely Plaqued (adjusted p=9.1x10^-6, FC=0.69) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,7,ENSG00000136531,SCN2A,SCN2A was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. SCN2A was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=3.21x10^-8, FC=0.65) / Demented (adjusted p=2.29x10^-5, FC=0.65) / severely Plaqued (adjusted p=1.54x10^-6, FC=0.61) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,8,ENSG00000138078,PREPL,PREPL was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. PREPL was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=9.63x10^-8, FC=0.72) / Demented (adjusted p=1.48x10^-5, FC=0.7) / severely Plaqued (adjusted p=1.68x10^-6, FC=0.68) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,9,ENSG00000124785,NRN1,NRN1 was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. NRN1 was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=1.03x10^-8, FC=0.59) / Demented (adjusted p=5.91x10^-5, FC=0.63) / severely Plaqued (adjusted p=8.27x10^-8, FC=0.53) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,10,ENSG00000144290,SLC4A10,SLC4A10 was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. SLC4A10 was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=3.76x10^-8, FC=0.66) / Demented (adjusted p=5.82x10^-5, FC=0.68) / severely Plaqued (adjusted p=1.13x10^-6, FC=0.62) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,11,ENSG00000145864,GABRB2,GABRB2 was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. GABRB2 was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=2.65x10^-7, FC=0.63) / Demented (adjusted p=2.31x10^-5, FC=0.61) / severely Plaqued (adjusted p=6.94x10^-6, FC=0.59) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,12,ENSG00000145087,STXBP5L,STXBP5L was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. STXBP5L was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=1.83x10^-8, FC=0.68) / Demented (adjusted p=1.34x10^-5, FC=0.68) / severely Plaqued (adjusted p=2.75x10^-6, FC=0.67) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,13,ENSG00000014641,MDH1,MDH1 was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. MDH1 was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=5.57x10^-8, FC=0.67) / Demented (adjusted p=2.04x10^-5, FC=0.66) / severely Plaqued (adjusted p=9.75x10^-7, FC=0.63) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,14,ENSG00000022355,GABRA1,GABRA1 was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. GABRA1 was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=7.11x10^-8, FC=0.57) / Demented (adjusted p=2.04x10^-5, FC=0.56) / severely Plaqued (adjusted p=2.54x10^-6, FC=0.53) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,15,ENSG00000138814,PPP3CA,PPP3CA was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. PPP3CA was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=5.75x10^-8, FC=0.71) / Demented (adjusted p=5.37x10^-5, FC=0.72) / severely Plaqued (adjusted p=2.15x10^-6, FC=0.68) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,16,ENSG00000183454,GRIN2A,GRIN2A was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. GRIN2A was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=4.2x10^-6, FC=0.72) / Demented (adjusted p=2.65x10^-4, FC=0.72) / severely Plaqued (adjusted p=2.3x10^-5, FC=0.68) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,17,ENSG00000070961,ATP2B1,ATP2B1 was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. ATP2B1 was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=1.23x10^-7, FC=0.7) / Demented (adjusted p=3.9x10^-5, FC=0.7) / severely Plaqued (adjusted p=4.1x10^-6, FC=0.67) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,18,ENSG00000149269,PAK1,PAK1 was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. PAK1 was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=6.42x10^-9, FC=0.63) / Demented (adjusted p=3.52x10^-5, FC=0.66) / severely Plaqued (adjusted p=1.14x10^-7, FC=0.57) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,19,ENSG00000277586,NEFL,NEFL was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. NEFL was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=9.97x10^-9, FC=0.58) / Demented (adjusted p=3.52x10^-5, FC=0.60) / severely Plaqued (adjusted p=6.62x10^-7, FC=0.54) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
MSSM,20,ENSG00000162374,ELAVL4,ELAVL4 was down-regulated in the parahippocampal area of CERAD definite AD brains. It was identified in the Bayesian network analysis as an important key driver of both up- and down-regulation of genes associated with AD severity.,"Agonism predicted to reduce disease progression. ELAVL4 was significantly down-regulated in the parahippocampal area of CERAD definite AD (adjusted p=3.5x10^-9, FC=0.63) / Demented (adjusted p=4.9x10^-5, FC=0.67) / severely Plaqued (adjusted p=3.8x10^-7, FC=0.6) brains compared to the controls.",Bayesian network analysis derived from RNAseq and WGS genotypes.,syn17008057
Harvard-MIT,2,ENSG00000116478,HDAC1,"The expression of HDAC1 declines with age in human dorsolateral prefrontal cortex (Colantuoni et al., Nature, 2011). Furthermore, mice carrying brain-specific knockout of HDAC1 (HDAC1 cKO) manifest various aging phenotypes, and deficiency of HDAC1 in a mouse model of Alzheimer's disease (AD) further exacerbates AD pathology.",Activation of HDAC1 is hypothesized to confer therapeutic effects for aging brains and AD,Activation of HDAC1 is hypothesized to confer therapeutic effects for aging brains and AD,
Harvard-MIT,1,ENSG00000084093,REST,REST was selected as a target because REST nuclear levels were increased in cognitively-normal aged individuals but decreased in AD cases. It was identified in an analysis of transcription factors mediating gene expression changes during human brain aging. Causality has been shown in AD mouse models and cell lines.,"Increased nuclear REST is hypothesized to protect against AD, neuropathology, and cognitive decline.","Increased nuclear REST is hypothesized to protect against AD, neuropathology, and cognitive decline.",
Emory,1,ENSG00000131095,GFAP,"GFAP was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with GFAP is conserved across the 3 datasets considered, is enriched for inflammatory processes, and for protein products of genes near loci previously associated with AD risk. GFAP has increased abundance in AD across all 3 study cohorts.",Unknown. Reduce reactive astrocytosis which increases in AD.,"Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,2,ENSG00000026508,CD44,"CD44 was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with CD44 is conserved across the 3 datasets considered, is enriched for inflammatory processes, and for protein products of genes near loci previously associated with AD risk. CD44 has increased abundance in AD across all 3 cohorts examined, and progressively increases in asymptomatic (prodromal) AD to symptomatic AD, and also correlates with both hallmark AD pathology scores (CERAD for amyloid burden; and Braak for Tau extent of spread). Low brain mRNA expression in non-AD brain suggests this protein in brain total homogenates may be derived from infiltrating perpipheral blood cells.","Antagonism predicted to reduce disease progression. ECM-intracellular crosstalk; highly expressed in disease-associated microglia, or infiltrating immune cells crossing the BBB. CD44 inhibition would be expected to reduce CNS inflammation via reduced peripheral monocyte infiltration.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,3,ENSG00000178209,PLEC,"PLEC was identified as a potential driver protein based on protein coexpression analysis. Driver candidate status survives regression or removal of cell type bias. The group of proteins coexpressed with PLEC is conserved across the 3 datasets considered, is enriched for inflammatory processes, and for protein products of genes near loci previously associated with AD risk. PLEC has increased abundance in AD across all 3 cohorts examined, and progressively increases in asymptomatic (prodromal) AD to symptomatic AD, and also correlates with both hallmark AD pathology scores (CERAD for amyloid burden; and Braak for Tau extent of spread). This protein's mRNA is considered to be low in brain compared to other tissues based on public data. Notably, one PLEC protein isoform is coexpressed with a different group of axon-marker-enriched proteins, with AD-dependence implicating unique splicing changes potentially in neurons.","Antagonism predicted to reduce disease progression. That is, reduce this module hub's expression to restore normal motility of various cell types (appears to be cell-type dependent); PLEC may be a bystander hub since our hubs have no inferred (Bayesian) directionality and are therefore not quite correctly called ""key drivers"", but if a driver, its reduction would normalize heterotypic cell-cell interactions in the CNS which when dysregulated may induce disease-associated phenotypes, e.g. in microglia (DAM, disease-associated microglia) and/or astrocytes.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,4,ENSG00000089169,RPH3A,RPH3A was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with RPH3A is conserved across the 3 datasets considered and is enriched in neuronal marker proteins. RPH3A has decreased abundance in AD across all 3 cohorts examined.,"Agonism predicted to reduce disease progression. Rabphilin 3A is selectively reduced in AD cortex, correlates with dementia severity and amyloid burden.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,5,ENSG00000106089,STX1A,STX1A was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with STX1A is conserved across the 3 datasets considered and is enriched in synaptic and vesicular associated proteins. STX1A has decreased abundance in AD across all 3 cohorts examined.,"Unknown. Restore levels, along with normal numbers of synapses.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,6,ENSG00000184702,SEPT5,One splicing isoform of SEPT5 was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with this isoform of SEPT5 is conserved across the 3 datasets considered and is enriched in synaptic and vesicular associated proteins. The isoform of SEPT5 has decreased abundance in AD across all 3 cohorts examined.,"Unknown. Multiple isoforms, at least 1 which is going up (opposite direction) in AD in deeper TMT data (BLSA). Roles in dendrite formation and morphology suggest modulation to increase plasticity.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,7,ENSG00000147065,MSN,"MSN was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with MSN is conserved across the 3 datasets considered, is enriched for inflammatory processes, and for protein products of genes near loci previously associated with AD risk. MSN has increased abundance in AD across all 3 cohorts examined, and progressively increases in asymptomatic (prodromal) AD to symptomatic AD, and also correlates with both hallmark AD pathology scores (CERAD for amyloid burden; and Braak for Tau extent of spread). MSN is highly expressed as a marker of disease-associated microglia and/or endothelial cell types.","Antagonism predicted to reduce disease progression. Phosphorylation downstream of Rho/Rock influences actin, focal adhesion binding; may have redundancy with EZR and RDX, complicating targeting. MSN-directed therapeutics that improve microglial motility and/or phagocytosis competence would reduce abeta/amyloid plaque burden.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,8,ENSG00000182621,PLCB1,PLCB1 was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with PLCB1 is conserved across the 3 datasets considered and is enriched in neuronal marker proteins. PLCB1 has decreased abundance in AD across all 3 cohorts examined.,"Unknown. Involvement in multiple pathways including chemokine signalling, Wnt signalling, vascular biology, neurogenesis. Activity has been found to be coupled to serotonergic stimulation in brain (Crews et al, Life Sciences, 1994), with uncoupling possible in AD.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,9,ENSG00000115310,RTN4,"RTN4 was identified as a potential driver protein based on protein coexpression analysis. The groups of proteins coexpressed with RTN4 varied across across the datasets considered; in ACT, the coexpressed group was enriched in neuronal marker proteins, whereas in BLSA, the group of coexpressed proteins enriched in hydrolases (e.g. phosphatases). RTN4 has decreased abundance in AD across all 3 cohorts examined.","Agonism predicted to reduce disease progression. Increase expression. As a BACE1-associated membrane protein, one study found overexpression of different RTN4 isoforms (NoGo-B and NoGo-C) reduced secretion of amyloid beta (Murayama et al, Eur J Neurosci, 2006)","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,10,ENSG00000115194,SLC30A3,SLC30A3 was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with SLC30A3 is conserved across the 3 datasets considered and is enriched in neuronal marker proteins. SLC30A3 has decreased abundance in AD across all 3 cohorts examined.,"Agonism predicted to reduce disease progression. Enhance activity. Age dependent loss of transsynaptic zinc ion movement leads to cognitive loss in at least one study (Adlard et al, J Neurosci, 2010)","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,11,ENSG00000079462,PAFAH1B3,"PAFAH1B3 was identified as a potential driver protein based on protein coexpression analysis. The groups of proteins coexpressed with PAFAH1B3 varied across across the datasets considered; in Banner, the coexpressed group was enriched in inflammatory process proteins, whereas in BLSA, the group of coexpressed proteins was enriched for regulation of apoptosis. PAFAH1B3 has increased abundance in AD.","Agonism predicted to reduce disease progression. Enhance activity of the catalytic complex, despite this subunit being elevated in AD. Highly expressed in astrocytes, which proliferate in AD. Platelet-activating factor (PAF) is neurotoxic, and this catalytic subunit inactivates PAF by removing the acetyl group at the sn-2 position. May require coregulation of other 2 catalytic subunits.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,12,ENSG00000171992,SYNPO,SYNPO was identified as a potential driver protein based on protein coexpression analysis. The group of proteins coexpressed with SYNPO is generally conserved across the datasets considered and is enriched in synaptic proteins. SYNPO has decreased abundance in AD across cohorts examined.,"Agonism predicted to reduce disease progression. Re-establish expression in context of neuronal cells. Seen in multiple studies to decrease in AD with increasing cognitive inhibition, previously in entorhinal cortex and hippocampus (Saura et al, Front. Cell. Neurosci., 2015, and references therein)","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,13,ENSG00000128564,VGF,"VGF was identified as both a potential driver and a protein linking different groups of coexpressed proteins, each with neuronal and/or cell projection marker enrichment. VGF protein-derived peptides as a group have highly consistent decreased levels in AD, progressive with severity, and these levels are negatively correlated with the two hallmark pathologies of AD, namely CERAD as a measure of plaque burden, and Braak score as a measure of extent of tangle pathology spread.","Unknown. Possibly activate (promote neurogenesis/homing), since reduced in AD. VGF gene product propeptide is cleaved in vivo into multiple active and inactive fragments.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,14,ENSG00000114554,PLXNA1,PLXNA1 was identified as a potential driver protein based on protein coexpression analysis of the BLSA cohort. The group of proteins coexpressed with PLXNA1 is conserved across the datasets considered and is enriched in neuronal proteins. PLXNA1 has decreased abundance in AD across the examined cohorts.,"Agonism predicted to reduce disease progression. Possibly activate (promote axon guidance), since reduced in AD.","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
Emory,15,ENSG00000164061,BSN,BSN was identified as a potential driver protein based on protein coexpression analysis of the BLSA cohort. The group of proteins coexpressed with BSN is conserved across the datasets considered and is enriched in neuronal proteins. BSN has decreased abundance in AD across the examined cohorts.,"Agonism predicted to reduce disease progression. Activate, to increase maintainence of synapse integrity and proteostasis (per Waites et al, EMBO J, 2013).","Discovery quantitative proteomics of FrCx 
 WPCNA of multiple and consensus cohorts
 ANOVA",syn17008058
